Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,1500,Distance cost,0.6770261804553319,Manip Cost,0.49560255475773973,Total cost,0.6431748714325652,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,4.929011016e-11,3.074116312111196e-05,2.792220057014656e-05,2.876640846206771e-05,2.949217603231272e-05,2.815522274469446e-05,2.811921445587732e-05,2.807648559059152e-05,2.80270664352527e-05,2.797099014289325e-05,2.790829262591732e-05,2.783901256155172e-05,2.776319140210309e-05,2.768087336349559e-05
Distance to Last Node,0.0,0.1,0.087,0.05,0.119,0.095,0.05,0.103,0.023,0.022,0.022,0.04,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016
Total Cost,0.0,0.0767,0.14362,0.1821,0.27375,0.34715,0.38564,0.46504,0.48278,0.49937,0.5164,0.54714,0.55877,0.57052,0.58238,0.59435,0.60642,0.61858,0.63084,0.64317
Joint 6: ,0.5,0.809,0.312,1.48,1.711,0.42,-0.026,0.671,-0.686,-2.082,-3.478
Trial,8,Sim Type,3,Distance Weight,1,Random Seed,120,Min Iterations,1500,Distance cost,0.6457978650282471,Manip Cost,0.5,Total cost,0.6135079717768347,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,4.336569146e-11,1.0,1.0,1.0,1.0,0.0
Distance to Last Node,0.0,0.05,0.095,0.05,0.099,0.098,0.121,0.111,0.062,0.111
Total Cost,0.0,0.03848,0.11191,0.1504,0.22632,0.30157,0.39478,0.48037,0.52829,0.61351
Joint 0: ,0.4,0.259,0.045,-0.032,-0.229,-0.337,-0.402,-0.338,-0.338,-0.49
Joint 1: ,-1.45,-1.372,-1.217,-1.193,-1.212,-1.17,-1.166,-0.999,-1.148,-1.314
Joint 2: ,1.0,0.975,0.891,0.854,0.928,0.804,0.73,0.24,0.025,0.044
Joint 3: ,-0.4,-0.663,-1.013,-1.079,-1.135,-1.142,-0.956,-1.17,-0.912,-0.524
Joint 4: ,-0.1,-0.099,-0.069,-0.081,-0.149,-0.185,-0.333,-0.389,-0.28,-0.403
Joint 5: ,-1.7,-1.602,-1.438,-1.433,-1.561,-1.574,-1.908,-1.628,-1.862,-2.007
Joint 6: ,0.5,0.6,0.874,0.895,0.534,0.657,0.441,1.709,2.717,2.641
Trial,9,Sim Type,3,Distance Weight,1,Random Seed,135,Min Iterations,1500,Distance cost,0.6581125271616842,Manip Cost,0.28942569540565843,Total cost,0.6252069008036,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.809458151e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.857447516561271e-05,0.0,5.170000717e-11
Distance to Last Node,0.0,0.05,0.119,0.05,0.082,0.05,0.087,0.111,0.044,0.098,0.059,0.062
Total Cost,0.0,0.03848,0.12974,0.16822,0.23135,0.26983,0.3371,0.42279,0.45653,0.53219,0.57765,0.62521
Joint 0: ,0.4,0.274,0.117,0.062,-0.061,-0.116,-0.204,-0.228,-0.353,-0.505,-0.496,-0.488
Joint 1: ,-1.45,-1.405,-1.181,-1.167,-1.077,-1.05,-1.057,-1.153,-1.226,-1.312,-1.313,-1.314
Joint 2: ,1.0,0.996,0.824,0.801,0.724,0.65,0.515,0.4,0.606,0.654,0.345,0.036
Joint 3: ,-0.4,-0.603,-0.894,-0.91,-1.139,-1.179,-1.177,-0.92,-0.837,-0.627,-0.575,-0.524
Joint 4: ,-0.1,-0.126,-0.182,-0.209,-0.154,-0.153,-0.158,-0.417,-0.588,-0.617,-0.507,-0.396
Joint 5: ,-1.7,-1.648,-1.643,-1.755,-1.754,-1.785,-1.841,-2.052,-2.134,-2.309,-2.158,-2.006
Joint 6: ,0.5,0.42,0.866,0.816,1.005,1.107,1.256,1.039,-0.087,-0.319,1.16,2.639
Trial,10,Sim Type,3,Distance Weight,1,Random Seed,150,Min Iterations,1500,Distance cost,0.6641766857897236,Manip Cost,0.3333333333333333,Total cost,0.6309678515002374,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,3.222186261e-11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.132696918e-11
Distance to Last Node,0.0,0.05,0.118,0.05,0.093,0.089,0.05,0.093,0.121,0.056,0.059,0.043
Total Cost,0.0,0.03848,0.12914,0.16762,0.2392,0.30736,0.34584,0.41706,0.50985,0.55282,0.59823,0.63097
Joint 0: ,0.4,0.259,0.063,-0.0,-0.153,-0.265,-0.36,-0.366,-0.48,-0.521,-0.513,-0.506
Joint 1: ,-1.45,-1.408,-1.296,-1.207,-1.164,-1.055,-1.037,-1.0,-0.941,-1.075,-1.195,-1.315
Joint 2: ,1.0,1.038,1.047,0.97,0.899,0.775,0.752,0.525,0.349,0.447,0.283,0.118
Joint 3: ,-0.4,-0.612,-0.925,-1.056,-1.162,-1.289,-1.307,-1.169,-1.243,-1.015,-0.768,-0.521
Joint 4: ,-0.1,-0.084,-0.157,-0.111,-0.111,-0.149,-0.18,-0.269,-0.318,-0.588,-0.526,-0.463
Joint 5: ,-1.7,-1.671,-1.819,-1.849,-1.912,-1.941,-1.922,-1.972,-1.414,-1.742,-1.88,-2.019
Joint 6: ,0.5,0.403,0.261,0.482,0.541,0.7,0.667,0.97,1.408,0.34,1.501,2.662
Trial,11,Sim Type,3,Distance Weight,1,Random Seed,165,Min Iterations,1500,Distance cost,0.6903548295878199,Manip Cost,0.18331037103326261,Total cost,0.6558370881084289,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.270284418620672e-05,2.465870832446913e-05,2.639983263246447e-05
Distance to Last Node,0.0,0.05,0.093,0.096,0.1,0.094,0.086,0.05,0.094,0.108,0.024,0.026,0.03
Total Cost,0.0,0.03848,0.10979,0.18402,0.26097,0.33353,0.39945,0.43793,0.51055,0.59402,0.61271,0.63307,0.65584
Joint 0: ,0.4,0.302,0.163,-0.051,-0.221,-0.248,-0.375,-0.497,-0.486,-0.568,-0.602,-0.636,-0.669
Joint 1: ,-1.45,-1.244,-1.094,-0.979,-0.986,-0.98,-0.96,-0.97,-1.161,-1.247,-1.301,-1.354,-1.407
Joint 2: ,1.0,0.895,0.869,0.837,0.832,0.638,0.612,0.676,0.727,0.756,0.841,0.926,1.01
Joint 3: ,-0.4,-0.731,-0.962,-1.291,-1.331,-1.272,-1.231,-1.178,-0.9,-0.835,-0.724,-0.612,-0.501
Joint 4: ,-0.1,-0.109,-0.097,-0.072,-0.114,-0.102,-0.171,-0.171,-0.603,-1.065,-1.116,-1.167,-1.218
Joint 5: ,-1.7,-1.461,-1.534,-1.342,-1.478,-1.787,-1.864,-1.933,-2.216,-2.189,-2.199,-2.21,-2.22
Joint 6: ,0.5,0.942,1.021,1.087,0.916,1.178,1.06,0.839,0.03,-0.174,-1.267,-2.36,-3.453
Trial,12,Sim Type,3,Distance Weight,1,Random Seed,180,Min Iterations,1500,Distance cost,0.6516540393565473,Manip Cost,0.5203173120390283,Total cost,0.6190713373887199,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.502804985e-11,0.0,0.0,3.067421439e-11,0.0,1.0,1.0,1.0,2.598682919810984e-05,2.653336730755043e-05,2.703744360955526e-05,2.749723468042826e-05,2.791103919011049e-05
Distance to Last Node,0.0,0.099,0.1,0.098,0.05,0.095,0.05,0.059,0.068,0.076,0.03,0.028,0.027,0.025
Total Cost,0.0,0.07586,0.15275,0.22843,0.26691,0.34,0.37834,0.42387,0.47619,0.53495,0.55786,0.57953,0.59994,0.61907
Joint 0: ,0.4,0.207,-0.015,-0.162,-0.256,-0.423,-0.508,-0.594,-0.554,-0.705,-0.699,-0.693,-0.686,-0.68
Joint 1: ,-1.45,-1.372,-1.329,-1.252,-1.206,-1.265,-1.181,-1.098,-1.251,-1.27,-1.309,-1.347,-1.386,-1.424
Joint 2: ,1.0,0.945,1.022,0.96,0.971,1.09,0.981,0.872,0.996,1.035,1.052,1.07,1.087,1.105
Joint 3: ,-0.4,-0.663,-0.877,-0.989,-1.085,-1.064,-1.113,-1.162,-0.843,-0.906,-0.805,-0.703,-0.601,-0.5
Joint 4: ,-0.1,-0.141,-0.158,-0.178,-0.243,-0.375,-0.398,-0.421,-0.76,-0.855,-0.967,-1.08,-1.192,-1.304
Joint 5: ,-1.7,-1.699,-1.752,-1.852,-1.862,-2.064,-1.892,-1.719,-2.104,-1.959,-2.031,-2.102,-2.174,-2.246
Joint 6: ,0.5,0.525,0.227,0.288,0.177,-0.327,0.47,1.267,0.152,1.407,0.194,-1.018,-2.231,-3.444
Trial,13,Sim Type,3,Distance Weight,1,Random Seed,195,Min Iterations,1500,Distance cost,0.6593690986363371,Manip Cost,0.6173424598535974,Total cost,0.6264006437045202,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,3.09174772e-11,1.0,2.980995664e-11,1.0,0.0,2.739496745e-11,1.670675155635648e-05,2.062532747407367e-05,2.407753099218172e-05
Distance to Last Node,0.0,0.05,0.1,0.083,0.097,0.099,0.124,0.078,0.107,0.022,0.025,0.029
Total Cost,0.0,0.03848,0.11513,0.17911,0.25384,0.32974,0.42538,0.48507,0.56713,0.58436,0.60385,0.6264
Joint 0: ,0.4,0.269,0.083,-0.002,-0.189,-0.308,-0.404,-0.335,-0.425,-0.501,-0.577,-0.652
Joint 1: ,-1.45,-1.4,-1.34,-1.227,-1.176,-1.23,-1.206,-1.26,-1.285,-1.319,-1.353,-1.387
Joint 2: ,1.0,1.002,0.971,0.853,0.883,0.853,0.781,0.585,0.423,0.578,0.732,0.887
Joint 3: ,-0.4,-0.617,-0.845,-0.883,-1.097,-0.998,-0.876,-0.712,-0.711,-0.641,-0.572,-0.503
Joint 4: ,-0.1,-0.114,-0.17,-0.144,-0.278,-0.339,-0.469,-0.819,-0.951,-1.003,-1.055,-1.108
Joint 5: ,-1.7,-1.648,-1.67,-1.726,-1.699,-1.798,-2.06,-2.284,-2.186,-2.186,-2.186,-2.187
Joint 6: ,0.5,0.445,0.349,0.662,0.349,0.196,-0.038,-0.17,-0.027,-1.173,-2.32,-3.466
Trial,14,Sim Type,3,Distance Weight,1,Random Seed,210,Min Iterations,1500,Distance cost,0.6636426132912356,Manip Cost,0.6,Total cost,0.6304604826266739,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.729681213e-11,0.0,4.045367033e-11,1.0,1.0,1.0,2.864598874e-11,4.507187069e-11
Distance to Last Node,0.0,0.05,0.093,0.098,0.098,0.094,0.124,0.072,0.124,0.065
Total Cost,0.0,0.03848,0.10998,0.18564,0.26145,0.33412,0.42951,0.48456,0.58031,0.63046
Joint 0: ,0.4,0.262,0.068,-0.114,-0.351,-0.475,-0.452,-0.284,-0.336,-0.453
Joint 1: ,-1.45,-1.376,-1.329,-1.241,-1.263,-1.198,-1.08,-1.187,-1.265,-1.316
Joint 2: ,1.0,1.005,1.048,1.016,1.121,1.094,0.673,0.27,-0.105,-0.12
Joint 3: ,-0.4,-0.65,-0.843,-0.987,-1.163,-1.196,-1.083,-0.769,-0.658,-0.528
Joint 4: ,-0.1,-0.098,-0.17,-0.174,-0.28,-0.295,-0.357,-0.487,-0.324,-0.271
Joint 5: ,-1.7,-1.637,-1.672,-1.689,-1.688,-1.882,-2.06,-2.261,-1.981,-1.987
Joint 6: ,0.5,0.498,0.195,0.234,-0.193,-0.239,0.444,1.223,1.973,2.594
Trial,15,Sim Type,3,Distance Weight,1,Random Seed,225,Min Iterations,1500,Distance cost,0.6641921740372678,Manip Cost,0.5933235750076635,Total cost,0.6309825653354044,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.690700758e-11,0.0,4.360988526e-11,0.0,0.0,1.0,1.0,0.0,2.519638649709683e-05,2.481160130466135e-05,2.43985240319004e-05,2.397158441697179e-05,2.353131235302747e-05
Distance to Last Node,0.0,0.124,0.1,0.099,0.095,0.05,0.097,0.061,0.033,0.033,0.119,0.004,0.003,0.003
Total Cost,0.0,0.09534,0.17216,0.24827,0.3211,0.35958,0.43392,0.48054,0.50611,0.5319,0.62345,0.62632,0.62882,0.63098
Joint 0: ,0.4,0.118,-0.04,-0.158,-0.318,-0.358,-0.424,-0.378,-0.488,-0.598,-0.606,-0.62,-0.634,-0.649
Joint 1: ,-1.45,-1.337,-1.248,-1.217,-1.273,-1.232,-1.238,-1.226,-1.272,-1.317,-1.434,-1.417,-1.4,-1.383
Joint 2: ,1.0,1.112,0.989,0.945,1.056,1.008,0.941,0.521,0.744,0.967,0.916,0.898,0.879,0.861
Joint 3: ,-0.4,-0.855,-0.942,-0.953,-0.933,-0.92,-0.818,-0.742,-0.765,-0.787,-0.441,-0.462,-0.483,-0.504
Joint 4: ,-0.1,-0.062,-0.054,-0.169,-0.365,-0.431,-0.632,-0.46,-0.645,-0.829,-1.263,-1.203,-1.144,-1.084
Joint 5: ,-1.7,-1.76,-1.754,-1.897,-1.981,-2.053,-2.156,-2.249,-2.278,-2.307,-2.331,-2.28,-2.23,-2.179
Joint 6: ,0.5,0.203,0.451,0.322,-0.288,-0.299,-0.544,0.681,-0.358,-1.397,-0.28,0.751,1.782,2.814
Trial,16,Sim Type,3,Distance Weight,1,Random Seed,240,Min Iterations,1500,Distance cost,0.6556193660717085,Manip Cost,0.5150461288604071,Total cost,0.622838397768123,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.70795883232246e-05,2.663358367e-11,0.0,0.0,3.126487061995822e-05,2.796332766140204e-05,0.04316187531696205,2.377481200549734e-05,2.601680644613707e-05,2.483984378690554e-05,2.04183795236158e-05,2.34671786931534e-05,2.60805804567706e-05,2.820807676948781e-05
Distance to Last Node,0.0,0.05,0.095,0.05,0.046,0.101,0.048,0.062,0.039,0.044,0.112,0.086,0.024,0.025,0.026
Total Cost,0.0,0.03848,0.11174,0.15022,0.18589,0.26364,0.30091,0.34848,0.37871,0.41294,0.49877,0.56525,0.58358,0.60262,0.62284
Joint 0: ,0.4,0.318,0.098,0.022,-0.081,-0.283,-0.367,-0.45,-0.4,-0.349,-0.392,-0.453,-0.529,-0.606,-0.682
Joint 1: ,-1.45,-1.464,-1.343,-1.293,-1.377,-1.474,-1.368,-1.262,-1.299,-1.337,-1.452,-1.41,-1.416,-1.422,-1.428
Joint 2: ,1.0,1.041,0.976,0.94,1.178,1.472,1.127,0.782,0.895,1.008,0.915,0.714,0.851,0.988,1.125
Joint 3: ,-0.4,-0.42,-0.775,-0.852,-0.879,-0.965,-0.987,-1.009,-0.874,-0.738,-0.398,-0.578,-0.552,-0.526,-0.499
Joint 4: ,-0.1,-0.097,-0.107,-0.11,-0.358,-0.651,-0.218,0.216,-0.275,-0.766,-0.97,-1.305,-1.311,-1.317,-1.323
Joint 5: ,-1.7,-1.801,-1.723,-1.768,-1.899,-2.094,-2.023,-1.953,-2.16,-2.367,-2.489,-2.313,-2.292,-2.272,-2.252
