Trial,1,Sim Type,3,Distance Weight,0.8,Random Seed,15,Min Iterations,1500,Distance cost,0.7030614111065402,Manip Cost,0.22391723940997368,Total cost,0.5343266724409705,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.339395579334518e-05
Distance to Last Node,0.0,0.1,0.087,0.073,0.097,0.095,0.095,0.069,0.114,0.029,0.11
Total Cost,0.0,0.12802,0.18264,0.19712,0.21966,0.27838,0.33669,0.37893,0.44897,0.4666,0.53433
Distance to Last Node,0.0,0.086,0.098,0.087,0.1,0.05,0.097,0.096,0.102,0.038,0.047,0.082
Total Cost,0.0,0.08321,0.15351,0.22297,0.27669,0.31008,0.35563,0.41607,0.44005,0.50307,0.51937,0.54298
Joint 0: ,0.4,0.286,0.056,-0.089,-0.274,-0.35,-0.405,-0.612,-0.787,-0.808,-0.829,-0.701
Joint 1: ,-1.45,-1.458,-1.441,-1.403,-1.369,-1.291,-1.341,-1.249,-1.351,-1.297,-1.242,-1.471
Joint 2: ,1.0,0.989,1.028,1.081,1.088,1.135,1.256,1.211,1.307,1.279,1.25,1.345
Joint 3: ,-0.4,-0.463,-0.694,-0.841,-0.973,-1.015,-0.808,-1.035,-0.885,-0.976,-1.068,-0.497
Joint 4: ,-0.1,-0.181,-0.191,-0.244,-0.337,-0.433,-0.696,-0.758,-0.75,-1.109,-1.468,-1.534
Joint 5: ,-1.7,-1.829,-1.8,-1.961,-2.015,-2.009,-2.309,-2.234,-2.357,-2.275,-2.192,-2.314
Joint 6: ,0.5,0.186,-0.005,-0.267,-0.455,-0.619,-1.386,-1.302,-1.689,-2.732,-3.774,-3.438
Trial,5,Sim Type,3,Distance Weight,0.8,Random Seed,75,Min Iterations,1500,Distance cost,0.6663209105068738,Manip Cost,0.2651800656853929,Total cost,0.5064038919852242,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.577951831654274e-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.623722962425155e-05
Distance to Last Node,0.0,0.05,0.094,0.05,0.096,0.111,0.05,0.125,0.104,0.034,0.108
Total Cost,0.0,0.06137,0.14707,0.17656,0.21553,0.2468,0.27759,0.35441,0.41874,0.43972,0.5064
Joint 0: ,0.4,0.397,0.222,0.089,-0.118,-0.235,-0.296,-0.554,-0.7,-0.71,-0.668
Joint 1: ,-1.45,-1.426,-1.362,-1.286,-1.174,-1.11,-1.116,-1.065,-1.153,-1.238,-1.406
Joint 2: ,1.0,0.97,1.0,0.958,0.894,0.739,0.768,0.867,1.056,1.114,1.001
Joint 3: ,-0.4,-0.298,-0.498,-0.727,-1.055,-1.106,-1.044,-1.12,-1.083,-0.929,-0.501
Joint 4: ,-0.1,-0.169,-0.147,-0.135,-0.158,-0.262,-0.354,-0.496,-0.957,-1.011,-1.209
Joint 5: ,-1.7,-1.877,-2.019,-1.916,-1.771,-1.702,-1.778,-1.779,-1.825,-1.911,-2.217
Joint 6: ,0.5,0.281,0.278,0.435,0.52,0.653,0.403,-0.129,-1.209,-2.526,-3.454
Trial,6,Sim Type,3,Distance Weight,0.8,Random Seed,90,Min Iterations,1500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,7,Sim Type,3,Distance Weight,0.8,Random Seed,105,Min Iterations,1500,Distance cost,0.6825475578856397,Manip Cost,0.41117935803647293,Total cost,0.5449873513277289,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,2.950256906e-11,1.0,1.0,1.0,1.0,1.0,2.187351969802161e-05,2.082372232619137e-05
Distance to Last Node,0.0,0.05,0.05,0.05,0.107,0.115,0.098,0.099,0.096,0.059,0.064,0.055
Total Cost,0.0,0.09745,0.12455,0.1488,0.21022,0.27708,0.28911,0.34978,0.40872,0.4453,0.48471,0.54499
Joint 0: ,0.4,0.265,0.194,0.163,0.048,-0.188,-0.358,-0.469,-0.589,-0.652,-0.641,-0.629
Joint 1: ,-1.45,-1.372,-1.29,-1.238,-1.274,-1.184,-1.152,-1.168,-1.206,-1.226,-1.295,-1.365
Joint 2: ,1.0,0.976,0.916,0.914,0.95,0.927,0.941,0.888,0.837,0.866,0.802,0.739
Joint 3: ,-0.4,-0.67,-0.755,-0.759,-0.572,-0.997,-1.064,-1.016,-0.936,-0.896,-0.701,-0.506
Joint 4: ,-0.1,-0.094,-0.082,-0.134,-0.054,-0.134,-0.294,-0.422,-0.51,-0.69,-0.834,-0.978
Joint 5: ,-1.7,-1.626,-1.628,-1.789,-2.058,-1.971,-1.981,-2.094,-1.971,-1.908,-2.028,-2.148
Joint 6: ,0.5,0.611,0.809,0.695,0.612,0.439,0.19,0.056,0.082,-0.803,-2.145,-3.487
Trial,8,Sim Type,3,Distance Weight,0.8,Random Seed,120,Min Iterations,1500,Distance cost,0.6745639514135655,Manip Cost,0.36363636363636365,Total cost,0.5126686030743098,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Distance to Last Node,0.0,0.05,0.05,0.05,0.114,0.113,0.05,0.121,0.111,0.063,0.11
Total Cost,0.0,0.09745,0.12475,0.15255,0.19914,0.23232,0.26311,0.33767,0.40614,0.44514,0.51267
Joint 0: ,0.4,0.259,0.171,0.045,-0.021,-0.263,-0.337,-0.402,-0.338,-0.336,-0.49
Joint 1: ,-1.45,-1.372,-1.31,-1.217,-1.083,-1.214,-1.17,-1.166,-0.999,-1.149,-1.314
Joint 2: ,1.0,0.975,0.939,0.891,0.677,0.855,0.804,0.73,0.24,0.013,0.044
Joint 3: ,-0.4,-0.663,-0.759,-1.013,-1.01,-1.098,-1.142,-0.956,-1.17,-0.912,-0.524
Joint 4: ,-0.1,-0.099,-0.095,-0.069,0.028,-0.173,-0.185,-0.333,-0.389,-0.271,-0.403
Joint 5: ,-1.7,-1.602,-1.601,-1.438,-1.692,-1.602,-1.574,-1.908,-1.628,-1.861,-2.007
Joint 6: ,0.5,0.6,0.703,0.874,1.413,0.595,0.657,0.441,1.709,2.713,2.641
Trial,9,Sim Type,3,Distance Weight,0.8,Random Seed,135,Min Iterations,1500,Distance cost,0.6697172702807894,Manip Cost,0.12301883658904994,Total cost,0.5089851254134,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.511706714735208e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.040511872464593444,1.0,1.0,1.0,5.170000717e-11
Distance to Last Node,0.0,0.076,0.099,0.05,0.082,0.05,0.087,0.111,0.099,0.03,0.047,0.05,0.044
Total Cost,0.0,0.07775,0.12269,0.13878,0.18928,0.22006,0.27388,0.34243,0.40343,0.4253,0.45114,0.48171,0.50899
Joint 0: ,0.4,0.358,0.117,0.062,-0.061,-0.116,-0.204,-0.228,-0.59,-0.483,-0.466,-0.477,-0.488
Joint 1: ,-1.45,-1.385,-1.181,-1.167,-1.077,-1.05,-1.057,-1.153,-1.241,-1.05,-1.186,-1.25,-1.314
Joint 2: ,1.0,0.942,0.824,0.801,0.724,0.65,0.515,0.4,0.661,0.342,0.366,0.201,0.036
Joint 3: ,-0.4,-0.363,-0.894,-0.91,-1.139,-1.179,-1.177,-0.92,-0.884,-1.092,-0.877,-0.7,-0.524
Joint 4: ,-0.1,-0.141,-0.182,-0.209,-0.154,-0.153,-0.158,-0.417,-0.19,-0.334,-0.625,-0.511,-0.396
Joint 5: ,-1.7,-1.93,-1.643,-1.755,-1.754,-1.785,-1.841,-2.052,-2.171,-1.768,-2.033,-2.02,-2.006
Joint 6: ,0.5,0.535,0.866,0.816,1.005,1.107,1.256,1.039,0.063,0.966,-0.207,1.216,2.639
Trial,10,Sim Type,3,Distance Weight,0.8,Random Seed,150,Min Iterations,1500,Distance cost,0.6754615280543945,Manip Cost,0.36363636363636365,Total cost,0.5133507613213398,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Distance to Last Node,0.0,0.096,0.079,0.05,0.05,0.086,0.099,0.093,0.121,0.041,0.119
Total Cost,0.0,0.12548,0.16261,0.19747,0.20493,0.22252,0.28369,0.34066,0.41489,0.44026,0.51335
Joint 0: ,0.4,0.224,0.063,-0.0,-0.109,-0.219,-0.36,-0.366,-0.48,-0.422,-0.495
Joint 1: ,-1.45,-1.319,-1.296,-1.207,-1.178,-1.053,-1.037,-1.0,-0.941,-1.031,-1.314
Joint 2: ,1.0,0.982,1.047,0.97,1.005,0.844,0.752,0.525,0.349,0.2,0.065
Joint 3: ,-0.4,-0.678,-0.925,-1.056,-1.126,-1.282,-1.307,-1.169,-1.243,-1.062,-0.523
Joint 4: ,-0.1,-0.085,-0.157,-0.111,-0.1,-0.09,-0.18,-0.269,-0.318,-0.303,-0.42
Joint 5: ,-1.7,-1.775,-1.819,-1.849,-1.885,-1.899,-1.922,-1.972,-1.414,-1.547,-2.011
Joint 6: ,0.5,0.578,0.261,0.482,0.401,0.671,0.667,0.97,1.408,2.526,2.647
Trial,11,Sim Type,3,Distance Weight,0.8,Random Seed,165,Min Iterations,1500,Distance cost,0.6934899556437408,Manip Cost,0.10638729411018569,Total cost,0.5364695763488864,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.270284418620672e-05,2.465870832446913e-05,2.639983263246447e-05
Distance to Last Node,0.0,0.097,0.095,0.05,0.1,0.094,0.086,0.05,0.094,0.108,0.024,0.026,0.03
Total Cost,0.0,0.06003,0.11882,0.1496,0.21116,0.2692,0.32194,0.35273,0.41082,0.4776,0.49255,0.51401,0.53647
Joint 0: ,0.4,0.253,0.053,-0.051,-0.221,-0.248,-0.375,-0.497,-0.486,-0.568,-0.602,-0.636,-0.669
Joint 1: ,-1.45,-1.163,-1.007,-0.979,-0.986,-0.98,-0.96,-0.97,-1.161,-1.247,-1.301,-1.354,-1.407
Joint 2: ,1.0,0.904,0.842,0.837,0.832,0.638,0.612,0.676,0.727,0.756,0.841,0.926,1.01
Joint 3: ,-0.4,-0.839,-1.206,-1.291,-1.331,-1.272,-1.231,-1.178,-0.9,-0.835,-0.724,-0.612,-0.501
Joint 4: ,-0.1,-0.109,-0.077,-0.072,-0.114,-0.102,-0.171,-0.171,-0.603,-1.065,-1.116,-1.167,-1.218
Joint 5: ,-1.7,-1.547,-1.368,-1.342,-1.478,-1.787,-1.864,-1.933,-2.216,-2.189,-2.199,-2.21,-2.22
Joint 6: ,0.5,0.927,1.116,1.087,0.916,1.178,1.06,0.839,0.03,-0.174,-1.267,-2.36,-3.453
Trial,12,Sim Type,3,Distance Weight,0.8,Random Seed,180,Min Iterations,1500,Distance cost,0.6691532904426475,Manip Cost,0.5586490635474167,Total cost,0.5554277156664836,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.57200049425418e-05,2.502804985e-11,0.0,4.159901957e-11,0.0,3.067421439e-11,0.0,2.991318283530078e-05,1.0,1.0,1.0,2.728537392574043e-05,2.93134895048753e-05
Distance to Last Node,0.0,0.05,0.05,0.1,0.05,0.05,0.05,0.095,0.072,0.118,0.061,0.04,0.042,0.048
Total Cost,0.0,0.06138,0.12136,0.18153,0.21279,0.23727,0.26607,0.31812,0.36451,0.43645,0.4283,0.45321,0.4792,0.55543
Joint 0: ,0.4,0.34,0.207,-0.015,-0.082,-0.162,-0.256,-0.423,-0.661,-0.698,-0.619,-0.643,-0.667,-0.691
Joint 1: ,-1.45,-1.44,-1.372,-1.329,-1.272,-1.252,-1.206,-1.265,-1.295,-1.194,-1.138,-1.24,-1.342,-1.444
Joint 2: ,1.0,0.964,0.945,1.022,0.97,0.96,0.971,1.09,1.382,1.199,0.845,0.967,1.089,1.211
Joint 3: ,-0.4,-0.435,-0.663,-0.877,-0.933,-0.989,-1.085,-1.064,-1.292,-1.22,-1.032,-0.854,-0.676,-0.498
Joint 4: ,-0.1,-0.139,-0.141,-0.158,-0.131,-0.178,-0.243,-0.375,-0.755,-1.111,-0.891,-1.062,-1.233,-1.403
Joint 5: ,-1.7,-1.782,-1.699,-1.752,-1.815,-1.852,-1.862,-2.064,-1.982,-1.769,-1.92,-2.039,-2.157,-2.276
Joint 6: ,0.5,0.459,0.525,0.227,0.365,0.288,0.177,-0.327,-1.182,-0.943,0.454,-0.844,-2.141,-3.439
Trial,13,Sim Type,3,Distance Weight,0.8,Random Seed,195,Min Iterations,1500,Distance cost,0.6638199879398268,Manip Cost,0.4943626433185511,Total cost,0.5350020488228181,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.520152529e-11,3.028880128e-11,1.0,1.0,2.980995664e-11,1.0,0.0,2.739496745e-11,1.0,2.124997280187899e-05,2.234212222029562e-05
Distance to Last Node,0.0,0.1,0.086,0.095,0.05,0.099,0.124,0.078,0.107,0.04,0.022,0.018
Total Cost,0.0,0.12809,0.1781,0.20668,0.20402,0.26474,0.36477,0.38901,0.48789,0.51014,0.49321,0.535
Joint 0: ,0.4,0.183,0.077,-0.129,-0.189,-0.308,-0.404,-0.335,-0.425,-0.678,-0.659,-0.64
Joint 1: ,-1.45,-1.369,-1.25,-1.175,-1.176,-1.23,-1.206,-1.26,-1.285,-1.209,-1.292,-1.374
Joint 2: ,1.0,0.977,0.894,0.904,0.883,0.853,0.781,0.585,0.423,0.743,0.774,0.805
Joint 3: ,-0.4,-0.736,-0.826,-1.057,-1.097,-0.998,-0.876,-0.712,-0.711,-0.878,-0.691,-0.504
Joint 4: ,-0.1,-0.158,-0.129,-0.204,-0.278,-0.339,-0.469,-0.819,-0.951,-0.892,-0.964,-1.036
Joint 5: ,-1.7,-1.666,-1.75,-1.662,-1.699,-1.798,-2.06,-2.284,-2.186,-1.897,-2.031,-2.165
Joint 6: ,0.5,0.383,0.623,0.453,0.349,0.196,-0.038,-0.17,-0.027,-0.885,-2.18,-3.476
Trial,14,Sim Type,3,Distance Weight,0.8,Random Seed,210,Min Iterations,1500,Distance cost,0.6719420325251517,Manip Cost,0.46153846153846156,Total cost,0.5106759447191153,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.729681213e-11,0.0,0.0,4.267947153e-11,1.0,1.0,1.0,1.0,1.0,1.0,6.883284368e-11
Distance to Last Node,0.0,0.05,0.093,0.05,0.05,0.05,0.096,0.05,0.081,0.09,0.056,0.115,0.048
Total Cost,0.0,0.09745,0.15198,0.1835,0.20811,0.23432,0.28278,0.27044,0.32061,0.37575,0.4101,0.48113,0.51068
Joint 0: ,0.4,0.262,0.068,-0.025,-0.114,-0.243,-0.422,-0.475,-0.515,-0.485,-0.387,-0.322,-0.437
Joint 1: ,-1.45,-1.376,-1.329,-1.277,-1.241,-1.229,-1.185,-1.198,-1.065,-1.006,-1.097,-1.179,-1.319
Joint 2: ,1.0,1.005,1.048,1.011,1.016,1.072,1.053,1.094,0.884,0.597,0.24,-0.104,-0.193
Joint 3: ,-0.4,-0.65,-0.843,-0.915,-0.987,-1.116,-1.273,-1.196,-1.148,-1.056,-0.913,-0.847,-0.53
Joint 4: ,-0.1,-0.098,-0.17,-0.164,-0.174,-0.217,-0.292,-0.295,-0.283,-0.387,-0.259,-0.502,-0.213
Joint 5: ,-1.7,-1.637,-1.672,-1.64,-1.689,-1.669,-1.688,-1.882,-1.928,-2.018,-2.065,-1.824,-1.98
Joint 6: ,0.5,0.498,0.195,0.286,0.234,0.036,-0.074,-0.239,0.16,0.582,1.733,2.473,2.574
Trial,15,Sim Type,3,Distance Weight,0.8,Random Seed,225,Min Iterations,1500,Distance cost,0.6634322139362758,Manip Cost,0.49472879246145746,Total cost,0.5394502739567171,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.690700758e-11,0.0,0.0,4.360988526e-11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.250622091479538e-05,2.430336883532962e-05
Distance to Last Node,0.0,0.124,0.05,0.05,0.099,0.095,0.05,0.097,0.061,0.042,0.013,0.018,0.059,0.063
Total Cost,0.0,0.14293,0.16625,0.19482,0.25226,0.30574,0.34392,0.38939,0.38455,0.41025,0.41796,0.4291,0.46524,0.53945
Joint 0: ,0.4,0.118,0.033,-0.04,-0.158,-0.318,-0.358,-0.424,-0.378,-0.37,-0.443,-0.515,-0.585,-0.654
Joint 1: ,-1.45,-1.337,-1.286,-1.248,-1.217,-1.273,-1.232,-1.238,-1.226,-1.091,-1.166,-1.241,-1.315,-1.389
Joint 2: ,1.0,1.112,1.036,0.989,0.945,1.056,1.008,0.941,0.521,0.357,0.556,0.756,0.827,0.898
Joint 3: ,-0.4,-0.855,-0.919,-0.942,-0.953,-0.933,-0.92,-0.818,-0.742,-0.939,-0.864,-0.789,-0.646,-0.503
Joint 4: ,-0.1,-0.062,-0.053,-0.054,-0.169,-0.365,-0.431,-0.632,-0.46,-0.583,-0.733,-0.883,-1.0,-1.117
Joint 5: ,-1.7,-1.76,-1.734,-1.754,-1.897,-1.981,-2.053,-2.156,-2.249,-1.9,-2.028,-2.156,-2.173,-2.189
Joint 6: ,0.5,0.203,0.373,0.451,0.322,-0.288,-0.299,-0.544,0.681,1.46,0.332,-0.795,-2.13,-3.465
Trial,16,Sim Type,3,Distance Weight,0.8,Random Seed,240,Min Iterations,1500,Distance cost,0.7012854192374939,Manip Cost,0.519182926656928,Total cost,0.57386806191443,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.70795883232246e-05,2.663358367e-11,0.0,4.178360805e-11,0.0,3.106303420744996e-05,2.687268958e-11,3.038335448180968e-05,1.0,1.0,1.0,2.860850332166717e-05,2.820807676948781e-05
Distance to Last Node,0.0,0.05,0.095,0.05,0.05,0.047,0.095,0.05,0.095,0.079,0.05,0.102,0.055,0.048
Total Cost,0.0,0.06123,0.1583,0.17474,0.20364,0.23138,0.3043,0.35312,0.37552,0.41892,0.40658,0.46942,0.50356,0.57387
Joint 0: ,0.4,0.318,0.098,0.022,-0.029,-0.156,-0.366,-0.427,-0.542,-0.689,-0.733,-0.803,-0.742,-0.682
Joint 1: ,-1.45,-1.464,-1.343,-1.293,-1.271,-1.372,-1.408,-1.299,-1.305,-1.188,-1.201,-1.243,-1.336,-1.428
Joint 2: ,1.0,1.041,0.976,0.94,0.87,1.171,1.484,1.318,1.471,1.336,1.314,1.265,1.195,1.125
Joint 3: ,-0.4,-0.42,-0.775,-0.852,-0.857,-0.911,-1.05,-1.12,-1.006,-1.213,-1.128,-0.875,-0.687,-0.499
Joint 4: ,-0.1,-0.097,-0.107,-0.11,-0.118,-0.385,-0.605,-0.7,-0.71,-0.855,-0.947,-1.035,-1.179,-1.323
Joint 5: ,-1.7,-1.801,-1.723,-1.768,-1.823,-1.958,-2.11,-2.024,-2.258,-2.153,-2.132,-2.168,-2.21,-2.252
Joint 6: ,0.5,0.273,0.447,0.51,0.62,-0.573,-1.7,-1.365,-1.871,-1.577,-1.645,-1.868,-2.655,-3.443
Trial,17,Sim Type,3,Distance Weight,0.8,Random Seed,255,Min Iterations,1500,Distance cost,0.6634911893333071,Manip Cost,0.4500525338389692,Total cost,0.5042533038933135,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.754485476573766e-05,2.774676893e-11,0.0,0.0,0.0,2.65183759919315e-05,1.0,1.0,1.0,1.0,1.349300025313125e-05
Distance to Last Node,0.0,0.05,0.05,0.096,0.1,0.05,0.099,0.096,0.05,0.116,0.057,0.055
Total Cost,0.0,0.06118,0.12479,0.17159,0.25441,0.28399,0.32493,0.38348,0.36389,0.43548,0.47054,0.50425
Joint 0: ,0.4,0.319,0.177,0.031,-0.157,-0.27,-0.415,-0.522,-0.426,-0.561,-0.569,-0.577
Joint 1: ,-1.45,-1.445,-1.317,-1.396,-1.378,-1.301,-1.334,-1.227,-1.185,-1.188,-1.261,-1.333
Joint 2: ,1.0,1.075,1.015,1.167,1.14,1.064,1.041,0.862,0.728,0.661,0.558,0.455
Joint 3: ,-0.4,-0.438,-0.73,-0.763,-0.892,-1.018,-1.033,-1.078,-1.05,-0.933,-0.723,-0.513
Joint 4: ,-0.1,-0.031,-0.019,-0.002,-0.05,-0.041,-0.127,-0.193,-0.656,-0.854,-0.797,-0.739
Joint 5: ,-1.7,-1.84,-1.701,-2.039,-2.085,-2.014,-2.144,-2.2,-2.315,-2.242,-2.162,-2.082
Joint 6: ,0.5,0.402,0.658,0.242,0.181,0.33,0.217,0.423,0.38,0.32,1.532,2.744
Trial,18,Sim Type,3,Distance Weight,0.8,Random Seed,270,Min Iterations,1500,Distance cost,0.664389348350096,Manip Cost,0.4275005840854952,Total cost,0.5366894649835574,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
