Joint 0: ,-0.2,-0.175,-0.153,-0.088,-0.044,-0.006,0.055,0.098,0.108,0.219,0.274
Joint 1: ,0.4,0.344,0.278,0.356,0.433,0.429,0.535,0.624,0.664,0.787,0.874
Joint 2: ,0.4,0.416,0.404,0.421,0.433,0.456,0.449,0.45,0.443,0.399,0.342
Joint 3: ,0.9,0.977,1.083,1.091,1.103,1.166,1.106,1.087,1.145,1.04,0.98
Joint 4: ,0.9,0.884,0.833,0.871,0.871,0.839,0.857,0.862,0.847,0.87,0.918
Joint 5: ,0.9,0.964,1.046,0.984,0.962,1.01,0.945,0.909,0.941,0.814,0.724
Joint 6: ,0.0,0.016,0.063,0.11,0.11,0.141,0.173,0.173,0.173,0.283,0.314
Trial,9,Sim Type,5,Distance Weight,0.6,Random Seed,135,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,10,Sim Type,5,Distance Weight,0.6,Random Seed,150,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,11,Sim Type,5,Distance Weight,0.6,Random Seed,165,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,12,Sim Type,5,Distance Weight,0.6,Random Seed,180,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,13,Sim Type,5,Distance Weight,0.6,Random Seed,195,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,14,Sim Type,5,Distance Weight,0.6,Random Seed,210,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,15,Sim Type,5,Distance Weight,0.6,Random Seed,225,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,16,Sim Type,5,Distance Weight,0.6,Random Seed,240,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,17,Sim Type,5,Distance Weight,0.6,Random Seed,255,Min Iterations,2500,Distance cost,0.49501497701902,Manip Cost,0.5454545454545454,Total cost,0.5151908043932302,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,1.0,1.0,1.0,1.0,1e-20,1e-20,3.980688239e-11,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.074,0.05,0.05,0.059,0.071
Total Cost,0.0,0.22683,0.18699,0.18049,0.18731,0.20081,0.28828,0.35083,0.40543,0.45911,0.51519
Local Manip Cost,0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.163,-0.13,-0.078,-0.019,0.045,0.086,0.135,0.197,0.273,0.349
Joint 1: ,0.4,0.319,0.349,0.303,0.324,0.42,0.576,0.654,0.746,0.785,0.855
Joint 2: ,0.4,0.306,0.3,0.235,0.275,0.286,0.306,0.263,0.225,0.158,0.189
Joint 3: ,0.9,1.026,1.088,1.197,1.211,1.16,1.034,1.004,0.945,0.984,0.959
Joint 4: ,0.9,0.806,0.774,0.696,0.727,0.774,0.864,0.87,0.917,0.921,0.932
Joint 5: ,0.9,1.002,1.036,1.115,1.116,1.062,0.905,0.83,0.781,0.776,0.753
Joint 6: ,0.0,0.094,0.126,0.204,0.236,0.283,0.393,0.408,0.456,0.565,0.581
Trial,18,Sim Type,5,Distance Weight,0.6,Random Seed,270,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,19,Sim Type,5,Distance Weight,0.6,Random Seed,285,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,20,Sim Type,5,Distance Weight,0.6,Random Seed,300,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,21,Sim Type,5,Distance Weight,0.6,Random Seed,315,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,22,Sim Type,5,Distance Weight,0.6,Random Seed,330,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,23,Sim Type,5,Distance Weight,0.6,Random Seed,345,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,24,Sim Type,5,Distance Weight,0.6,Random Seed,360,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,25,Sim Type,5,Distance Weight,0.6,Random Seed,375,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
